Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Falco peregrinus,Peregrine Falcon,39,"Alaska,Connecticut,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Massachusetts,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming",42,"Alaska,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Haliaeetus leucocephalus,Bald Eagle,49,"Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",40,"Alaska,Arizona,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Washington,West Virginia,Wyoming",Birds,TRUE
Asio flammeus,Short-eared Owl,40,"Alabama,Alaska,Arkansas,California,Colorado,Connecticut,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,Tennessee,Texas,Utah,Vermont,West Virginia,Wisconsin,Wyoming",37,"Alabama,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,Tennessee,Texas,Vermont,Washington,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Myotis lucifugus,little brown bat,12,"Alabama,Alaska,California,Connecticut,Indiana,Kansas,Mississippi,Nevada,Ohio,Rhode Island,Vermont,Wyoming",37,"Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",Mammals,TRUE
Botaurus lentiginosus,American Bittern,41,"Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",36,"Arizona,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,South Carolina,Tennessee,Utah,Vermont,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Ixobrychus exilis,Least Bittern,36,"Alabama,Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virgin Islands,Virginia,West Virginia",36,"Alabama,Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virgin Islands,Virginia,West Virginia,Wisconsin",Birds,TRUE
Myotis septentrionalis,northern myotis,21,"Alabama,Connecticut,Delaware,Indiana,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Vermont,Wisconsin,Wyoming",36,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",Mammals,TRUE
Ammodramus savannarum,Grasshopper Sparrow,39,"Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",35,"Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Charadrius melodus,Piping Plover,35,"Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Dakota,Texas,Virginia,Wisconsin",35,"Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Texas,Virgin Islands,Virginia,Wisconsin",Birds,TRUE
Setophaga cerulea,Cerulean Warbler,32,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",35,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
