elementGlobalId,uniqueId,nsxUrl,elcode,scientificName,formattedScientificName,primaryCommonName,primaryCommonNameLanguage,roundedGRank,lastModified,classificationStatus,gRank,roundedGrank_2015,phylum,taxorder,taxclass,family,genus,informalTaxonomy
104488,ELEMENT_GLOBAL.2.104488,/Taxon/ELEMENT_GLOBAL.2.104488/Ambystoma_californiense,AAAAA01180,Ambystoma californiense,<i>Ambystoma californiense</i>,California Tiger Salamander,EN,G2,2022-02-05T00:44:04.240401Z,Standard,G2G3,G2,Craniata,Caudata,Amphibia,Ambystomatidae,Ambystoma,Animals - Vertebrates - Amphibians
106312,ELEMENT_GLOBAL.2.106312,/Taxon/ELEMENT_GLOBAL.2.106312/Anaxyrus_californicus,AAABB01230,Anaxyrus californicus,<i>Anaxyrus californicus</i>,Arroyo Toad,EN,G2,2022-02-05T00:51:26.460041Z,Standard,G2G3,G2,Craniata,Anura,Amphibia,Bufonidae,Anaxyrus,Animals - Vertebrates - Amphibians
105396,ELEMENT_GLOBAL.2.105396,/Taxon/ELEMENT_GLOBAL.2.105396/Anaxyrus_canorus,AAABB01040,Anaxyrus canorus,<i>Anaxyrus canorus</i>,Yosemite Toad,EN,G2,2022-02-05T00:47:41.835861Z,Standard,G2G3,G2,Craniata,Anura,Amphibia,Bufonidae,Anaxyrus,Animals - Vertebrates - Amphibians
101917,ELEMENT_GLOBAL.2.101917,/Taxon/ELEMENT_GLOBAL.2.101917/Anaxyrus_exsul,AAABB01070,Anaxyrus exsul,<i>Anaxyrus exsul</i>,Black Toad,EN,G1,2022-02-05T00:32:31.896806Z,Standard,G1,G1,Craniata,Anura,Amphibia,Bufonidae,Anaxyrus,Animals - Vertebrates - Amphibians
100899,ELEMENT_GLOBAL.2.100899,/Taxon/ELEMENT_GLOBAL.2.100899/Batrachoseps_gabrieli,AAAAD02110,Batrachoseps gabrieli,<i>Batrachoseps gabrieli</i>,San Gabriel Slender Salamander,EN,G2,2022-02-05T00:27:38.568605Z,Standard,G2G3,G2,Craniata,Caudata,Amphibia,Plethodontidae,Batrachoseps,Animals - Vertebrates - Amphibians
102298,ELEMENT_GLOBAL.2.102298,/Taxon/ELEMENT_GLOBAL.2.102298/Batrachoseps_incognitus,AAAAD02180,Batrachoseps incognitus,<i>Batrachoseps incognitus</i>,San Simeon Slender Salamander,EN,G2,2022-02-05T00:34:20.082064Z,Standard,G2,G2,Craniata,Caudata,Amphibia,Plethodontidae,Batrachoseps,Animals - Vertebrates - Amphibians
102718,ELEMENT_GLOBAL.2.102718,/Taxon/ELEMENT_GLOBAL.2.102718/Batrachoseps_kawia,AAAAD02150,Batrachoseps kawia,<i>Batrachoseps kawia</i>,Sequoia Slender Salamander,EN,G2,2022-02-05T00:36:10.970808Z,Standard,G2,G1,Craniata,Caudata,Amphibia,Plethodontidae,Batrachoseps,Animals - Vertebrates - Amphibians
103559,ELEMENT_GLOBAL.2.103559,/Taxon/ELEMENT_GLOBAL.2.103559/Batrachoseps_luciae,AAAAD02160,Batrachoseps luciae,<i>Batrachoseps luciae</i>,Santa Lucia Mountains Slender Salamander,EN,G3,2022-02-05T00:39:57.253123Z,Standard,G3,G2,Craniata,Caudata,Amphibia,Plethodontidae,Batrachoseps,Animals - Vertebrates - Amphibians
101886,ELEMENT_GLOBAL.2.101886,/Taxon/ELEMENT_GLOBAL.2.101886/Batrachoseps_minor,AAAAD02170,Batrachoseps minor,<i>Batrachoseps minor</i>,Lesser Slender Salamander,EN,G1,2022-02-05T00:32:21.89693Z,Standard,G1,G1,Craniata,Caudata,Amphibia,Plethodontidae,Batrachoseps,Animals - Vertebrates - Amphibians
103787,ELEMENT_GLOBAL.2.103787,/Taxon/ELEMENT_GLOBAL.2.103787/Batrachoseps_regius,AAAAD02140,Batrachoseps regius,<i>Batrachoseps regius</i>,Kings River Slender Salamander,EN,G2,2022-02-05T00:40:55.472362Z,Standard,G2,G2,Craniata,Caudata,Amphibia,Plethodontidae,Batrachoseps,Animals - Vertebrates - Amphibians
